sensor,time,pm_1,pm_25,pm_10,location
9,211516,0,0,0,in
9,212355,0,0,0,in
9,213192,0,0,0,in
9,214100,0,0,0,in
9,214938,0,0,0,in
9,215776,0,0,0,in
9,216684,0,0,0,in
9,217522,0,0,0,in
9,218360,0,0,0,in
9,219268,0,0,0,in
9,220105,0,0,0,in
9,220944,0,0,0,in
9,221851,0,0,0,in
9,222689,0,0,0,in
9,223527,0,0,0,in
9,224435,0,0,0,in
9,225273,0,0,0,in
9,226111,0,0,0,in
9,227018,0,1,1,in
9,227857,0,1,1,in
9,228695,0,1,1,in
9,229602,0,1,1,in
9,230440,0,1,1,in
9,231278,0,1,1,in
9,232186,0,1,1,in
9,233024,0,1,1,in
9,233863,0,1,1,in
9,234770,0,0,0,in
9,235608,0,0,0,in
9,236446,0,0,0,in
9,237353,0,0,0,in
9,238191,0,0,0,in
9,239030,0,0,0,in
9,239937,0,0,0,in
9,240776,0,0,0,in
9,241613,0,0,0,in
9,242521,0,0,0,in
9,243359,0,0,0,in
9,244197,0,0,0,in
9,245105,0,0,0,in
9,245943,0,0,0,in
9,246781,0,0,0,in
9,247689,0,0,0,in
9,248527,0,0,0,in
9,249366,0,0,0,in
9,250272,0,0,0,in
9,251111,0,0,0,in
9,251949,0,0,0,in
9,252857,0,0,0,in
9,253694,0,0,0,in
9,254532,0,0,0,in
9,255439,0,0,0,in
9,256278,0,0,0,in
9,257116,0,0,0,in
9,258024,0,0,0,in
9,258862,0,0,0,in
9,259700,0,0,0,in
9,260608,0,0,0,in
9,261446,0,0,0,in
9,262284,0,0,0,in
9,263192,0,0,0,in
9,264030,0,0,0,in
9,264867,0,0,0,in
9,265776,0,0,0,in
9,266613,0,0,0,in
9,267452,0,0,0,in
9,268359,0,0,0,in
9,269198,0,0,0,in
9,270035,0,0,0,in
9,270944,0,0,0,in
9,271781,0,0,0,in
9,272620,0,0,0,in
9,273528,0,0,0,in
9,274366,0,0,0,in
9,275204,0,0,0,in
9,276112,0,0,0,in
9,276950,0,0,0,in
9,277787,0,0,0,in
9,278695,0,0,0,in
9,279533,0,0,0,in
9,280372,0,0,0,in
9,281279,0,0,0,in
9,282118,0,0,0,in
9,282955,0,0,0,in
9,283864,0,0,0,in
9,284701,0,0,0,in
9,285540,0,0,0,in
9,286447,0,0,0,in
9,287285,0,0,0,in
9,288123,0,0,0,in
9,289031,0,1,1,in
9,289868,0,1,1,in
9,290707,0,1,1,in
9,291614,0,1,1,in
9,292453,0,1,1,in
9,293291,0,1,1,in
9,294198,0,1,1,in
9,295036,0,1,1,in
9,295874,0,1,1,in
9,296782,0,1,1,in
9,297621,0,1,1,in
9,298459,0,1,1,in
9,299366,0,1,1,in
9,300205,0,1,1,in
9,301042,0,1,1,in
9,301950,0,1,1,in
9,302788,0,1,1,in
9,303627,0,1,1,in
9,304534,0,1,1,in
9,305373,0,1,1,in
9,306210,0,1,1,in
9,307119,0,1,1,in
9,307956,0,1,1,in
9,308795,0,1,1,in
9,309702,0,0,0,in
9,310541,0,0,0,in
9,311378,0,0,0,in
9,312287,0,0,0,in
9,313124,0,0,0,in
9,313962,0,0,0,in
9,314870,0,0,0,in
9,315708,0,0,0,in
9,316547,0,0,0,in
9,317454,0,0,0,in
9,318292,0,0,0,in
9,319130,0,0,0,in
9,320038,0,0,0,in
9,320876,0,0,0,in
9,321715,0,0,0,in
9,322622,0,0,0,in
9,323461,0,0,0,in
9,324298,0,0,0,in
9,325206,0,0,0,in
9,326043,0,0,0,in
9,326882,0,0,0,in
9,327789,0,0,0,in
9,328628,0,0,0,in
9,329465,0,0,0,in
9,330373,0,0,0,in
9,331211,0,0,0,in
9,332049,0,0,0,in
9,332957,0,0,0,in
9,333795,0,0,0,in
9,334632,0,0,0,in
9,335541,0,0,0,in
9,336378,0,0,0,in
9,337217,0,0,0,in
9,338124,0,0,0,in
9,338962,0,0,0,in
9,339801,0,0,0,in
9,340708,0,0,0,in
9,341547,0,0,0,in
9,342384,0,0,0,in
9,343291,0,0,0,in
9,344130,0,0,0,in
9,344968,0,0,0,in
9,345876,0,0,0,in
9,346714,0,0,0,in
9,347551,0,0,0,in
9,348460,0,0,0,in
9,349297,0,0,0,in
9,350136,0,0,0,in
9,351043,0,0,0,in
9,351882,0,0,0,in
9,352719,0,0,0,in
9,353628,0,0,0,in
9,354465,0,0,0,in
9,355304,0,0,0,in
9,356211,0,0,0,in
9,357050,0,0,0,in
9,357888,0,0,0,in
9,358796,0,0,0,in
9,359633,0,0,0,in
9,360472,0,0,0,in
9,361379,0,0,0,in
9,362218,0,0,0,in
9,363056,0,0,0,in
9,363963,0,0,0,in
9,364802,0,0,0,in
9,365639,0,0,0,in
9,366547,0,0,0,in
9,367385,0,0,0,in
9,368224,0,0,0,in
9,369131,0,0,0,in
9,369970,0,0,0,in
9,370807,0,0,0,in
9,371715,0,0,0,in
9,372552,0,0,0,in
9,373391,0,0,0,in
9,374298,0,0,0,in
9,375137,0,0,0,in
9,375974,0,0,0,in
9,376882,0,0,0,in
9,377720,0,0,0,in
9,378559,0,0,0,in
9,379466,0,0,0,in
9,380304,0,0,0,in
9,381143,0,0,0,in
9,382050,0,0,0,in
9,382887,0,0,0,in
9,383725,0,0,0,in
9,384633,0,0,0,in
9,385471,0,0,0,in
9,386310,0,0,0,in
9,387217,0,0,0,in
9,388055,0,0,0,in
9,388893,0,0,0,in
9,389800,0,0,0,in
9,390638,0,0,0,in
9,391477,0,0,0,in
9,392384,0,0,0,in
9,393223,0,0,0,in
9,394060,0,0,0,in
9,394970,0,0,0,in
9,395806,0,0,0,in
9,396644,0,0,0,in
9,397552,0,0,0,in
9,398390,0,0,0,in
9,399228,0,0,0,in
9,400136,0,0,0,in
9,400973,0,0,0,in
9,401812,0,0,0,in
9,402720,0,0,3,in
9,403558,0,0,3,in
9,404396,0,0,3,in
9,405303,0,0,3,in
9,406141,0,0,4,in
9,406979,0,0,4,in
9,407887,0,0,4,in
9,408725,0,0,4,in
9,409563,0,0,4,in
9,410471,0,0,4,in
9,411309,0,0,4,in
9,412147,0,0,3,in
9,413054,0,0,3,in
9,413893,0,0,3,in
9,414731,0,0,3,in
9,415638,0,0,3,in
9,416477,0,0,3,in
9,417314,0,0,3,in
9,418223,0,0,3,in
9,419061,0,0,3,in
9,419898,0,0,3,in
9,420806,0,0,3,in
9,421644,0,0,3,in
9,422482,0,0,3,in
9,423390,0,0,3,in
9,424228,0,0,3,in
9,425066,0,0,3,in
9,425974,0,0,3,in
9,426812,0,0,3,in
9,427651,0,0,3,in
9,428558,0,0,0,in
9,429395,0,0,0,in
9,430234,0,0,0,in
9,431141,0,0,0,in
9,431980,0,0,0,in
9,432818,0,0,0,in
9,433726,0,0,0,in
9,434564,0,0,0,in
9,435402,0,0,0,in
9,436310,0,0,0,in
9,437148,0,0,0,in
9,437986,0,0,0,in
9,438894,0,0,0,in
9,439732,0,0,0,in
9,440570,0,0,0,in
9,441478,0,0,0,in
9,442315,0,0,0,in
9,443155,0,0,0,in
9,444062,0,0,0,in
9,444901,0,0,0,in
9,445739,0,0,0,in
9,446646,0,0,0,in
9,447484,0,0,0,in
9,448322,0,0,0,in
9,449230,0,0,0,in
9,450068,0,0,0,in
9,450906,0,0,0,in
9,451814,0,1,1,in
9,452653,0,1,1,in
9,453490,0,1,1,in
9,454398,0,1,1,in
9,455235,0,1,1,in
9,456074,0,1,1,in
9,456981,0,1,1,in
9,457820,0,1,1,in
9,458657,0,1,1,in
9,459566,0,1,1,in
9,460403,0,1,1,in
9,461242,0,1,1,in
9,462149,0,0,0,in
9,462988,0,0,0,in
9,463825,0,0,0,in
9,464733,0,0,0,in
9,465571,0,0,0,in
9,466409,0,0,0,in
9,467318,0,0,0,in
9,468155,0,0,0,in
9,468994,0,0,0,in
9,469901,0,0,0,in
9,470738,0,0,0,in
9,471577,0,0,0,in
9,472484,0,0,0,in
9,473323,0,0,0,in
9,474162,0,0,0,in
9,475069,0,0,0,in
9,475908,0,0,0,in
9,476745,0,0,0,in
9,477654,0,0,0,in
9,478491,0,0,0,in
9,479330,0,0,0,in
9,480237,0,0,0,in
9,481075,0,0,0,in
9,481913,0,0,0,in
9,482821,0,0,0,in
9,483658,0,0,0,in
9,484497,0,0,0,in
9,485404,0,0,0,in
9,486243,0,0,0,in
9,487080,0,0,0,in
9,487989,0,0,0,in
9,488826,0,0,0,in
9,489665,0,0,0,in
9,490572,0,0,0,in
9,491411,0,0,0,in
9,492250,0,0,0,in
9,493157,0,0,0,in
9,493996,0,0,0,in
9,494833,0,0,0,in
9,495741,0,0,0,in
9,496579,0,0,0,in
9,497417,0,0,0,in
9,498325,0,0,0,in
9,499163,0,0,0,in
9,500000,0,0,0,in
9,500909,0,0,1,in
9,501746,0,0,1,in
9,502585,0,0,1,in
9,503492,0,0,1,in
